"COU","Country","SER","Service","EXP","Expression","MEASURE","Measure","PAR","Partner","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","UZB","Uzbekistan","2014","2014","USD","US Dollar","6","Millions",,,2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","VNM","Viet Nam","2014","2014","USD","US Dollar","6","Millions",,,-5.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","FJI","Fiji","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","PYF","French Polynesia","2014","2014","USD","US Dollar","6","Millions",,,-2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MHL","Marshall Islands","2014","2014","USD","US Dollar","6","Millions",,,-41.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","PNG","Papua New Guinea","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ALB","Albania","2014","2014","USD","US Dollar","6","Millions",,,30.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BLR","Belarus","2014","2014","USD","US Dollar","6","Millions",,,49.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BIH","Bosnia and Herzegovina","2014","2014","USD","US Dollar","6","Millions",,,-31.9,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","BGR","Bulgaria","2014","2014","USD","US Dollar","6","Millions",,,-255.1,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","HRV","Croatia","2014","2014","USD","US Dollar","6","Millions",,,-728,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CYP","Cyprus","2014","2014","USD","US Dollar","6","Millions",,,-22.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","GIB","Gibraltar","2014","2014","USD","US Dollar","6","Millions",,,119.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","GGY","Guernsey","2014","2014","USD","US Dollar","6","Millions",,,8,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","IMN","Isle of Man","2014","2014","USD","US Dollar","6","Millions",,,-4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","JEY","Jersey","2014","2014","USD","US Dollar","6","Millions",,,35.9,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","LIE","Liechtenstein","2014","2014","USD","US Dollar","6","Millions",,,101,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MKD","North Macedonia","2014","2014","USD","US Dollar","6","Millions",,,1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MLT","Malta","2014","2014","USD","US Dollar","6","Millions",,,10.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MDA","Moldova","2014","2014","USD","US Dollar","6","Millions",,,5.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","ROU","Romania","2014","2014","USD","US Dollar","6","Millions",,,-244.4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","RUS","Russia","2014","2014","USD","US Dollar","6","Millions",,,903.4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SMR","San Marino","2014","2014","USD","US Dollar","6","Millions",,,2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SRB","Serbia","2014","2014","USD","US Dollar","6","Millions",,,-5.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MNE","Montenegro","2014","2014","USD","US Dollar","6","Millions",,,14.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","UKR","Ukraine","2014","2014","USD","US Dollar","6","Millions",,,-140.8,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","LVA","Latvia","2014","2014","USD","US Dollar","6","Millions",,,-2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","LTU","Lithuania","2014","2014","USD","US Dollar","6","Millions",,,-138.2,,
"BEL","Belgium","S","SERVICES","NET","Net","USD","Millions of  US dollars","LBN","Lebanon","2014","2014","USD","US Dollar","6","Millions",,,-5.3,,
"FIN","Finland","S","SERVICES","NET","Net","USD","Millions of  US dollars","PER","Peru","2014","2014","USD","US Dollar","6","Millions",,,-15.9,,
"DEU","Germany","S","SERVICES","NET","Net","USD","Millions of  US dollars","GBR","United Kingdom","2014","2014","USD","US Dollar","6","Millions",,,1282,,
"BEL","Belgium","S","SERVICES","NET","Net","USD","Millions of  US dollars","GUY","Guyana","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"CZE","Czechia","S","SERVICES","NET","Net","USD","Millions of  US dollars","CHE","Switzerland","2014","2014","USD","US Dollar","6","Millions",,,434.4,,
"CZE","Czechia","S","SERVICES","NET","Net","USD","Millions of  US dollars","NCL","New Caledonia","2014","2014","USD","US Dollar","6","Millions",,,0.1,,
"DEU","Germany","S","SERVICES","NET","Net","USD","Millions of  US dollars","IND","India","2014","2014","USD","US Dollar","6","Millions",,,-770.5,,
"FRA","France","S","SERVICES","NET","Net","USD","Millions of  US dollars","COM","Comoros","2014","2014","USD","US Dollar","6","Millions",,,-77.1,,
"DNK","Denmark","S","SERVICES","NET","Net","USD","Millions of  US dollars","AUT","Austria","2014","2014","USD","US Dollar","6","Millions",,,-163.5,,
"EST","Estonia","S","SERVICES","NET","Net","USD","Millions of  US dollars","VNM","Viet Nam","2014","2014","USD","US Dollar","6","Millions",,,-4.1,,
"DEU","Germany","S","SERVICES","NET","Net","USD","Millions of  US dollars","FIN","Finland","2014","2014","USD","US Dollar","6","Millions",,,136.8,,
"FIN","Finland","S","SERVICES","NET","Net","USD","Millions of  US dollars","CHN","China (People’s Republic of)","2014","2014","USD","US Dollar","6","Millions",,,-417.1,,
"DNK","Denmark","S","SERVICES","NET","Net","USD","Millions of  US dollars","PYF","French Polynesia","2014","2014","USD","US Dollar","6","Millions",,,-2.8,,
"CZE","Czechia","S","SERVICES","NET","Net","USD","Millions of  US dollars","NOR","Norway","2014","2014","USD","US Dollar","6","Millions",,,44.7,,
"EST","Estonia","S","SERVICES","NET","Net","USD","Millions of  US dollars","CHN","China (People’s Republic of)","2014","2014","USD","US Dollar","6","Millions",,,-43,,
"FIN","Finland","S","SERVICES","NET","Net","USD","Millions of  US dollars","ZWE","Zimbabwe","2014","2014","USD","US Dollar","6","Millions",,,4,,
"DEU","Germany","S","SERVICES","NET","Net","USD","Millions of  US dollars","VEN","Venezuela","2014","2014","USD","US Dollar","6","Millions",,,29.2,,
"BEL","Belgium","S","SERVICES","NET","Net","USD","Millions of  US dollars","SVN","Slovenia","2014","2014","USD","US Dollar","6","Millions",,,-50.5,,
"DNK","Denmark","S","SERVICES","NET","Net","USD","Millions of  US dollars","BGD","Bangladesh","2014","2014","USD","US Dollar","6","Millions",,,-46.9,,
"DEU","Germany","S","SERVICES","NET","Net","USD","Millions of  US dollars","BGD","Bangladesh","2014","2014","USD","US Dollar","6","Millions",,,2.7,,
"CZE","Czechia","S","SERVICES","NET","Net","USD","Millions of  US dollars","MLT","Malta","2014","2014","USD","US Dollar","6","Millions",,,7.4,,
"DNK","Denmark","S","SERVICES","NET","Net","USD","Millions of  US dollars","VGB","British Virgin Islands","2014","2014","USD","US Dollar","6","Millions",,,72,,
"EST","Estonia","S","SERVICES","NET","Net","USD","Millions of  US dollars","SWE","Sweden","2014","2014","USD","US Dollar","6","Millions",,,129.3,,
"EST","Estonia","S","SERVICES","NET","Net","USD","Millions of  US dollars","NZL","New Zealand","2014","2014","USD","US Dollar","6","Millions",,,-0.3,,
"BEL","Belgium","S","SERVICES","NET","Net","USD","Millions of  US dollars","MHL","Marshall Islands","2014","2014","USD","US Dollar","6","Millions",,,9.3,,
"DEU","Germany","S","SERVICES","NET","Net","USD","Millions of  US dollars","AUT","Austria","2014","2014","USD","US Dollar","6","Millions",,,-10183,,
