country1,country2,value
andorra,sierraleone,14
andorra,singapore,11
andorra,slovakia,19
andorra,slovenia,19
andorra,soafrica,16
andorra,sokorea,16
andorra,sosudan,8
andorra,solomonis,6
andorra,somalia,9
andorra,spain,21
andorra,srilanka,15
andorra,stkitts,11
andorra,stlucia,13
andorra,stvincent,11
andorra,sudan,14
andorra,suriname,12
andorra,swaziland,15
andorra,sweden,18
andorra,switzerland,21
andorra,syria,15
andorra,taiwan,1
andorra,tajikistan,15
andorra,tanzania,16
andorra,thailand,15
andorra,togo,17
andorra,tonga,11
andorra,trinidad,14
andorra,tunisia,18
andorra,turkey,18
andorra,turkmenistan,14
andorra,tuvalu,6
andorra,uae,15
andorra,uk,18
andorra,usa,13
andorra,uganda,15
andorra,ukraine,17
andorra,uruguay,18
andorra,uzbekistan,15
andorra,vanuatu,11
andorra,venezuela,18
andorra,vietnam,13
andorra,wsamoa,9
andorra,yemen,15
andorra,yugoslaviaserb,18
andorra,zaire,16
andorra,zambia,14
andorra,zimbabwe,14
angola,afghanistan,25
angola,albania,32
angola,algeria,53
angola,andorra,16
angola,antiguabarbuda,31
angola,argentina,41
angola,armenia,29
angola,australia,33
angola,austria,44
angola,austriahungary,1
angola,azerbaijan,30
angola,bahamas,38
angola,bahrain,31
angola,bangladesh,33
angola,barbados,34
angola,belarus,27
angola,belgium,45
angola,belize,37
angola,benin,58
angola,bhutan,23
angola,bolivia,33
angola,bosnia,30
angola,botswana,53
angola,brazil,42
angola,brunei,26
angola,bulgaria,38
angola,burkinafaso,55
angola,burundi,53
angola,car,50
angola,cambodia,32
angola,cameroon,60
angola,canada,39
angola,capeverde,55
angola,chad,53
angola,chile,33
angola,china,41
angola,colombia,36
angola,comoros,52
angola,congobrazz,58
angola,costarica,34
angola,croatia,38
angola,cuba,31
angola,cyprus,33
angola,czechrep,34
angola,denmark,47
angola,djibouti,49
angola,domrepublic,38
angola,dominica,34
angola,etimor,23
angola,ecuador,37
angola,egypt,52
angola,elsalvador,31
angola,eqguinea,42
angola,eritrea,46
angola,estonia,35
angola,ethiopia,52
angola,fyromacedonia,25
angola,fiji,35
angola,finland,48
angola,france,47
angola,gabon,57
angola,gambia,55
angola,georgia,33
angola,germany,44
angola,ghana,60
angola,greece,39
angola,grenada,33
angola,guatemala,35
angola,guinea,57
angola,guineabissau,53
angola,guyana,37
angola,haiti,39
angola,hesseelect,1
angola,hessegrand,1
angola,honduras,36
angola,hungary,36
angola,iceland,30
angola,india,42
angola,indonesia,34
angola,iran,30
angola,iraq,29
angola,ireland,37
angola,israel,32
angola,italy,47
angola,ivorycoast,58
angola,jamaica,38
angola,japan,42
angola,jordan,32
angola,kazakhstan,29
angola,kenya,61
angola,kiribati,22
angola,kosovo,4
angola,kuwait,40
angola,kyrgyzstan,26
angola,laos,31
angola,latvia,33
angola,lebanon,29
angola,lesotho,53
angola,liberia,51
angola,libya,46
angola,liechtenstein,12
angola,lithuania,36
angola,luxembourg,44
angola,madagascar,59
angola,malawi,57
angola,malaysia,34
angola,maldives,30
angola,mali,53
angola,malta,38
angola,marshallis,20
angola,mauritania,57
angola,mauritius,58
angola,mecklenburg,1
angola,mexico,36
angola,micronesiafs,15
angola,modena,1
angola,moldova,31
angola,monaco,24
angola,mongolia,34
angola,morocco,48
angola,montenegro,29
angola,mozambique,61
angola,myanmar,29
angola,namibia,59
angola,nauru,17
angola,nepal,32
angola,netherlands,47
angola,newzealand,31
angola,nicaragua,37
angola,niger,54
angola,nigeria,57
angola,nokorea,21
angola,norway,43
angola,oman,33
angola,pakistan,36
angola,palau,15
angola,panama,34
angola,papuanewguinea,38
angola,paraguay,32
angola,peru,36
angola,philippines,38
angola,poland,38
angola,portugal,48
angola,qatar,32
angola,romania,38
angola,russia,30
angola,rwanda,52
angola,svietnam,1
angola,sanmarino,19
angola,saotome,46
angola,saudiarabia,42
angola,senegal,59
angola,seychelles,53
angola,sierraleone,58
angola,singapore,29
angola,slovakia,34
angola,slovenia,38
angola,soafrica,60
angola,sokorea,43
angola,sosudan,26
angola,solomonis,26
angola,somalia,48
angola,spain,48
angola,srilanka,34
angola,stkitts,30
angola,stlucia,32
angola,stvincent,30
angola,sudan,56
angola,suriname,32
angola,swaziland,57
angola,sweden,46
angola,switzerland,43
angola,syria,31
angola,taiwan,4
angola,tajikistan,26
angola,tanzania,61
angola,thailand,36
angola,togo,59
angola,tonga,30
angola,trinidad,39
angola,tunisia,55
angola,turkey,33
angola,turkmenistan,27
angola,tuscany,1
angola,tuvalu,25
angola,uae,33
angola,uk,46
angola,usa,35
angola,uganda,56
angola,ukraine,30
angola,uruguay,33
angola,uzbekistan,27
angola,vanuatu,31
angola,venezuela,36
angola,vietnam,28
angola,wsamoa,28
angola,wurtenburg,1
angola,yemen,34
angola,yugoslaviaserb,32
angola,zaire,52
angola,zambia,57
angola,zimbabwe,57
antiguabarbuda,afghanistan,20
antiguabarbuda,albania,27
antiguabarbuda,algeria,29
antiguabarbuda,andorra,11
antiguabarbuda,angola,32
antiguabarbuda,argentina,36
antiguabarbuda,armenia,23
antiguabarbuda,australia,29
antiguabarbuda,austria,30
antiguabarbuda,austriahungary,1
antiguabarbuda,azerbaijan,23
antiguabarbuda,bahamas,43
antiguabarbuda,bahrain,24
antiguabarbuda,bangladesh,28
antiguabarbuda,barbados,43
antiguabarbuda,belarus,22
antiguabarbuda,belgium,34
antiguabarbuda,belize,47
antiguabarbuda,benin,33
antiguabarbuda,bhutan,19
antiguabarbuda,bolivia,33
antiguabarbuda,bosnia,25
antiguabarbuda,botswana,31
antiguabarbuda,brazil,35
antiguabarbuda,brunei,24
antiguabarbuda,bulgaria,32
antiguabarbuda,burkinafaso,31
antiguabarbuda,burundi,28
antiguabarbuda,car,29
antiguabarbuda,cambodia,27
antiguabarbuda,cameroon,35
antiguabarbuda,canada,33
